app_id,app_name,description,category,target_audience,core_features,scenario,intent_tags
A100,和平精英,腾讯光子工作室群自研打造的战术竞技手游。虚幻引擎4研发，次世代完美画质，极致视听感受；超大实景地图，打造指尖战场，全方面自由施展战术；百人同场竞技，真实弹道，完美的射击手感。,Gaming,"['hardcore players', 'FPS lovers', 'youth']","['tactical competition', '100-player battle royale', 'voice chat', 'realistic ballistics']","['party with friends', 'weekend gaming', 'e-sports']","['shooting', 'survival', 'teamwork', 'competitive']"
A101,三角洲行动,一款设定在2035年的第一人称特战干员战术射击游戏。支持多平台免费游玩。拥有极其硬核的改枪系统和多元化的战术道具，带你体验极致的现代战争。,Gaming,"['military enthusiasts', 'hardcore gamers', 'FPS lovers']","['first-person shooter', 'weapon customization', 'tactical operators']","['immersive gaming', 'weekend relax', 'stress relief']","['action', 'military', 'hardcore', 'shooting']"
A102,部落冲突,加入全球数百万玩家的行列，建立村庄、组建部落，参加史诗般的部落对战！在策略与养成并重的世界里，训练野蛮人等个性化军队，与其他玩家一决高下。,Strategy,"['strategy lovers', 'casual gamers', 'global players']","['base building', 'clan wars', 'resource management', 'tower defense']","['daily check-in', 'killing time', 'social interaction']","['strategy', 'simulation', 'social', 'casual']"
A103,王国保卫战,备受赞誉的塔防神作！在森林、山脉和荒地中指挥你的军队，通过升级定制的防御塔和特殊技能，抵御兽人、巨魔、邪恶巫师的入侵。,Strategy,"['tower defense fans', 'strategy lovers', 'single players']","['tower defense', 'hero system', 'offline play', 'challenging levels']","['commuting', 'solo entertainment', 'focus time']","['tower defense', 'strategy', 'offline', 'classic']"
A104,愤怒的小鸟,风靡全球的经典物理弹射游戏。为了报复偷走鸟蛋的贪婪绿猪，玩家需要控制不同种类的小鸟，利用物理法则摧毁绿猪的堡垒。休闲解压，百玩不厌。,Games,"['all ages', 'kids', 'casual gamers']","['physics-based puzzle', 'slingshot mechanics', 'funny animations', 'offline play']","['restroom time', 'waiting in line', 'short breaks']","['puzzle', 'casual', 'physics', 'relaxing']"
A105,保卫萝卜,国民级萌系塔防单机游戏！画风Q萌可爱，老少皆宜。通过建造各种奇特的炮塔，保护可爱的小萝卜免受怪物的袭击。数百个特色关卡，带来轻松愉快的体验。,Games,"['female users', 'kids', 'casual gamers', 'all ages']","['cute graphics', 'casual tower defense', 'level progression', 'offline play']","['before sleep', 'killing time', 'family time']","['cute', 'tower defense', 'casual', 'relax']"
A001,欢乐消消消,超好玩的休闲消除游戏！精美的画面，数百个关卡等你来挑战。随时随地，无需网络也能玩，是你打发无聊时间的最佳选择。快来和好友一起比拼分数吧！,Games,"['casual gamers', 'all ages']","['puzzle', 'match-3', 'hundreds of levels', 'offline play']","['pass time', 'entertainment', 'competitive scoring']","['fun', 'challenge', 'social comparison']"
A002,极速清理大师,手机卡顿？内存不足？极速清理大师一键帮你解决！深度清理微信/QQ缓存，释放手机空间，让你的手机快如闪电。同时提供电池优化、CPU降温功能。,Utilities,['smartphone_users'],"['memory_cleanup', 'cache_clearing', 'space_release', 'battery_optimization', 'cpu_cooling']","['slow_phone', 'insufficient_storage', 'battery_drain', 'overheating']","['optimize', 'speed_up', 'clean', 'save_space', 'enhance_performance']"
A003,职场进阶课,专为职场新人打造的在线学习平台。汇聚行业大咖，提供PPT制作、演讲技巧、职场沟通等实战课程。每天碎片时间学习15分钟，助你快速升职加薪。,Education,['职场新人'],"['在线学习平台', '行业大咖授课', 'PPT制作', '演讲技巧', '职场沟通', '实战课程']",['碎片时间学习'],"['升职', '加薪']"
A004,王者荣耀,腾讯正版战术竞技手游，5V5英雄公平对战。海量英雄随心选择，精妙配合默契作战！10秒实时跨区匹配，与好友组队登顶最强王者！,Gaming,"['gamers', 'mobile users']","['5V5 hero battles', 'tactical competition', 'real-time matchmaking', 'multiplayer']","['competitive gaming', 'social gaming']","['entertainment', 'strategy', 'cooperation', 'competition']"
A005,抖音,记录美好生活！超火的短视频社交平台，在这里你可以看到各种搞笑、才艺、生活分享。智能推荐算法，让你越刷越懂你，还能自己开直播带货。,Social Media,['general public'],"['short video sharing', 'live streaming', 'personalized content recommendation']","['entertainment', 'content creation', 'e-commerce']","['watch videos', 'share videos', 'live broadcast', 'product promotion']"
A006,美颜相机,超千万女性用户的选择！智能美颜，一键拍出水光肌。提供海量滤镜、贴纸、AR特效，支持视频美颜和后期精修，让你的每一张自拍都完美无瑕。,Photography,['female users'],"['smart beauty enhancement', 'one-click photo', 'water glow skin effect', 'large collection of filters', 'stickers', 'AR effects', 'video beauty', 'post-processing']","['selfie', 'photo editing']","['beauty', 'filter', 'sticker', 'AR', 'video editing', 'perfect photo']"
A007,原神,米哈游出品的开放世界冒险游戏。在提瓦特大陆，你可以踏遍七国，邂逅性格各异、能力独特的同伴，与他们一同对抗强敌，踏上寻回血亲之路。,Adventure,"['Gamers', 'Adventure Lovers']","['Open World', 'Character Interaction', 'Combat', 'Questing']","['Exploration', 'Story-driven', 'Multiplayer']","['Entertainment', 'Adventure', 'Role-Playing']"
A008,网易云音乐,超清音质、优质歌单、精准推荐的音乐APP。不仅能听歌，还有超火的音乐社区，看动人热评，分享听歌心情。支持一键导入外部歌单。,Music,"['music lovers', 'listeners']","['high-quality audio', 'curated playlists', 'personalized recommendations', 'music community', 'user reviews', 'mood sharing', 'external playlist import']","['listening to music', 'discovering new music', 'engaging in music community', 'importing playlists']","['music streaming', 'audio quality', 'social interaction', 'music discovery', 'playlist management']"
A009,微信,国民级社交软件，支持语音视频聊天、朋友圈分享生活，微信支付便捷买单。,Social,['all ages'],"['instant messaging', 'video call', 'moments', 'mobile payment']","['daily communication', 'social networking', 'payment']","['chat', 'social', 'pay']"
A010,QQ,年轻人都在用的社交平台，支持多人视频、文件传输、个性装扮。,Social,"['youth', 'students']","['group video', 'file transfer', 'customization']","['school communication', 'gaming social', 'file sharing']","['chat', 'social', 'youth']"
A011,微博,随时随地发现新鲜事！汇聚娱乐八卦、社会热点，明星动态一手掌握。,News,"['young adults', 'fans']","['trending topics', 'celebrity news', 'social media']","['browsing news', 'following celebrities', 'entertainment']","['news', 'gossip', 'entertainment']"
A012,哔哩哔哩,国内知名的视频弹幕社区，涵盖动漫、番剧、国创、游戏视频。,Video,"['Gen Z', 'ACG fans']","['danmaku', 'anime', 'user generated content']","['watching anime', 'learning', 'entertainment']","['video', 'anime', 'community']"
A013,快手,国民短视频社区，记录真实生活，看搞笑段子、直播带货。,Video,['general public'],"['short video', 'live streaming', 'e-commerce']","['passing time', 'entertainment', 'shopping']","['short video', 'live', 'fun']"
A014,爱奇艺,海量正版高清影视剧，独播综艺、热播电视剧第一时间追。,Video,"['drama fans', 'movie lovers']","['movies', 'TV series', 'variety shows']","['watching movies', 'binge-watching TV shows']","['video', 'movies', 'entertainment']"
A015,腾讯视频,海量独播内容，热播剧集、热门综艺、院线大片应有尽有。,Video,"['drama fans', 'movie lovers']","['movies', 'TV series', 'exclusive content']","['watching movies', 'binge-watching TV shows']","['video', 'movies', 'entertainment']"
A016,优酷,海量高清视频在线观看，提供电视剧、电影、动漫、综艺节目。,Video,"['drama fans', 'movie lovers']","['movies', 'TV series', 'anime']","['watching movies', 'binge-watching TV shows']","['video', 'movies', 'entertainment']"
A017,芒果TV,湖南卫视独播综艺、自制网剧平台，追剧必备神器。,Video,"['young females', 'variety show fans']","['exclusive variety shows', 'web dramas']","['watching variety shows', 'entertainment']","['video', 'variety', 'entertainment']"
